PLANTE,AIL,ARTICHAUT,ASPERGE,AUBERGINE,BASILIC,BETTERAVE,BLETTE,BOURRACHE,BROCOLI,CAMOMILLE,CAROTTE,CELERI_BRANCHE,CELERI_RAVE,CHOU_CHINOIS,CHOU_BRUXELLE,CHOU_FLEUR,CHOU FRISE,CHOU POMME,CHOU RAVE,CIBOULETTE,CONCOMBRE,CONSOUDE,CORIANDRE,CORNICHON,COSMOS,COURGETTE,ECHALOTE,ENDIVE,EPINARD,ESTRAGON,FENOUIL,FEVE,FRAISE,FRAMBOISE,GROSEILLE,HARICOT GRAIN,HARICOT VERT,HYSOPE,LAITUE,LAVANDE,LUZERNE,MACHE,MELON,MENTHE,MOUTARDE,MYRTILLE,NAVET,OEUILLET,OIGNON,ORIGAN,PANAIS,POMME DE TERRE,PATATE DOUCE,PAVOT,PERSIL,POIS,PIMENT,POIREAU,POIVRON,POTIRON,RADIS,RHUBARBE,ROQUETTE,SALSIFIS,THYM,TOMATE,TOPINAMBOUR,VIGNE
AIL,NIL,DÉCONSEILLÉ,CONTRADICTOIRE,DÉCONSEILLÉ,NIL,CONSEILLÉ,NIL,NIL,DÉCONSEILLÉ,NIL,CONSEILLÉ,NIL,NIL,DÉCONSEILLÉ,DÉCONSEILLÉ,DÉCONSEILLÉ,DÉCONSEILLÉ,DÉCONSEILLÉ,DÉCONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,DÉCONSEILLÉ,CONSEILLÉ,CONSEILLÉ,NIL,DÉCONSEILLÉ,DÉCONSEILLÉ,NIL,CONSEILLÉ,NIL,DÉCONSEILLÉ,NIL,NIL,NIL,DÉCONSEILLÉ,NIL,CONTRADICTOIRE,NIL,CONSEILLÉ,NIL,NIL,CONTRADICTOIRE,CONTRADICTOIRE,NIL,NIL,DÉCONSEILLÉ,NIL,CONSEILLÉ,NIL,NIL,CONTRADICTOIRE,NIL,DÉCONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,NIL
ARTICHAUT,DÉCONSEILLÉ,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,CONSEILLÉ,CONSEILLÉ,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,CONSEILLÉ,NIL,CONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL
ASPERGE,CONTRADICTOIRE,CONSEILLÉ,NIL,NIL,CONSEILLÉ,CONTRADICTOIRE,NIL,NIL,DÉCONSEILLÉ,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,DÉCONSEILLÉ,NIL,CONTRADICTOIRE,CONSEILLÉ,CONSEILLÉ,NIL,CONSEILLÉ,NIL,CONSEILLÉ,CONSEILLÉ,NIL,NIL,NIL,NIL,DÉCONSEILLÉ,CONSEILLÉ,NIL,"NIL
",DÉCONSEILLÉ,DÉCONSEILLÉ,"NIL
",NIL,NIL,DÉCONSEILLÉ,NIL,NIL,NIL,DÉCONSEILLÉ,NIL,CONTRADICTOIRE,NIL,CONTRADICTOIRE,NIL,NIL,CONSEILLÉ,CONSEILLÉ,NIL,CONSEILLÉ,CONTRADICTOIRE,NIL,CONTRADICTOIRE,NIL,NIL,CONTRADICTOIRE,NIL,DÉCONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,NIL
AUBERGINE,DÉCONSEILLÉ,"NIL
",NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,DÉCONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,NIL,CONTRADICTOIRE,NIL,NIL,NIL,CONSEILLÉ,CONSEILLÉ,NIL,CONSEILLÉ,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,DÉCONSEILLÉ,NIL,NIL,DÉCONSEILLÉ,DÉCONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,DÉCONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL
BASILIC,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,CONSEILLÉ,CONTRADICTOIRE,NIL,DÉCONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,NIL,CONSEILLÉ,NIL,CONSEILLÉ,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,NIL,CONSEILLÉ
BETTERAVE,CONSEILLÉ,NIL,CONTRADICTOIRE,NIL,NIL,NIL,NIL,NIL,NIL,NIL,DÉCONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,CONSEILLÉ,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,DÉCONSEILLÉ,NIL,NIL,DÉCONSEILLÉ,NIL,NIL,NIL,CONTRADICTOIRE,CONTRADICTOIRE,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CONSEILLÉ,NIL,NIL,DÉCONSEILLÉ,DÉCONSEILLÉ,NIL,NIL,NIL,NIL,CONTRADICTOIRE,NIL,NIL,CONSEILLÉ,NIL,NIL,NIL,NIL,DÉCONSEILLÉ,NIL,NIL
